Cultivation,Sample Point,Average Growth Rate 1/h,Biomass g/L,Biomass model g/L,Biomass viable model g/L,CPR,CPR_Std,Cp mg/L,Cs g/L,Death rate (10^-3 h^-1),Growth Rate model 1/h,OUR,OUR_Std,Time d,Time h,Total titre mg/L,Viability %,Viability model %,qCO2 mmol/gh,qCO2 model mmol/gh,qCO2 viable mmol/gh,qCO2 viable model mmol/gh,qO2 mmol/gh,qO2 model mmol/gh,qO2 viable mmol/gh,qO2 viable model mmol/gh,qP mg/gh,qP model mg/gh,qS g/gh,qS model g/gh,qS viable g/gh
C024,R6,0.00119,16.13,15.903771677441764,15.489659253861475,0.0027358102055394795,0.00031653747219103853,8.078744905732774,3.504521704894403,0.003322746838588,0.0009719518097211,0.006393959250254613,0.0010012490473042639,13.88,333.0,149.74931714459905,97.61,97.39613701718524,0.117020663,,0.119885937,,-0.110396852,,-0.11309994,,0.009803501,0.0128258067250649,0.0054,0.005585592329189,0.00553222
C024,R7,0.00067,16.92,16.90525114630096,16.454625968466637,0.0028133270032775215,0.00031655557307990265,8.310272267597412,3.5005853024544296,0.0101676156970316,0.0007918419476842,0.006588662165056075,0.0010012531478806215,16.85,404.5,164.3670755983705,97.8,97.3344070789926,0.116819051,,0.119446883,,-0.08945603,,-0.091468334,,0.00807511,0.0128676734972516,0.0052,0.0052521242943917,0.005316973
C024,R8,0.00077,17.89,17.784393983994292,17.2135125472639,0.0027434011075975206,0.0003165642230706526,9.06626025912236,3.499777055061176,0.0235088654346922,0.0006652510389999,0.0064981245605387344,0.0010012757429802698,19.85,476.5,180.57032857637915,97.99,96.78998656212757,0.110485095,,0.112751398,,-0.089582509,,-0.091420052,,0.007218635,0.0139149715302435,0.0049,0.0050194163869206,0.00500051
C024,R9,0.00032,18.44,18.80767075685371,17.880502467394702,0.0025734342717562697,0.0003166263740948319,11.961885662903407,3.5012526244532856,0.048154556874896,0.000560408919023,0.006898188913837325,0.0010014195181689768,23.85,572.5,207.81780971796007,94.34,95.07026520484392,0.097532984,,0.10338455,,-0.08691058,,-0.092124846,,0.017347991,0.0193666987916205,0.0047,0.0048342162459951,0.00498198
C024,SS,0.02496,4.71,4.709999999999681,4.510276295196771,0.004668869579147028,0.0003193918018426782,44.53841728322782,9.80843,0.549054239084722,0.0268116633368683,0.007577350222223597,0.0010088462047693843,0.0,0.0,44.53841728322782,96.09,95.75958163900374,0.684303439,,0.712148444,,-0.623812528,,-0.649196095,,0.236262422,0.165850236446575,0.052,0.053688181613633,0.054115933
C030,R1,0.01587,6.89,7.124782643155876,6.789475780045678,0.003942974270287891,0.0003169558991911687,36.87421930731667,7.416470212892181,0.2205860192552287,0.0125459786362636,0.004370764952954197,0.0010024638432928447,0.92,22.0,59.099820803290335,95.3,95.29379519482892,0.390255274,,0.409501861,,-0.258447201,,-0.271193285,,0.122717899,0.0896722819026572,0.026896657,0.0269274342439129,0.028223145
C030,R10,0.00057,20.81,20.71076905815688,19.100792210794424,,,13.260049711250836,3.500304657487142,0.030616629638196,0.0005054430633896,,,27.88,669.0,222.8908714899084,92.23,92.2263782535474,,,,,,,,,0.013693016,0.021009111753847,0.004106535,0.0045173987401709,0.004452494
C030,R2,0.00816,8.29,8.750111305385035,8.363074716949932,0.003362895038485192,0.0003168219170889702,30.67304954123536,5.821852758676651,0.0341896198748602,0.0072978791875716,0.0038456744036908554,0.0010021201918838745,1.85,44.5,71.60718388334406,95.45,95.57678096966708,0.281389456,,0.294802992,,-0.139620723,,-0.146276294,,0.056148028,0.0602815415027374,0.016940929,0.0171604709036787,0.017748485
C030,R3,0.00401,12.21,12.478668892536051,11.99967578966976,0.002502886880023425,0.0003166258019763664,14.267643263511824,3.748306893054988,0.0118619330366004,0.0022243408181225,0.0034868894707787146,0.001001608846569161,5.88,141.0,106.11723861728125,96.23,96.16150482882996,0.140005992,,0.145491003,,-0.05833583,,-0.060621251,,0.008837796,0.020774306957603,0.007287004,0.0077001571724592,0.007572487
C030,R4,0.00165,13.22,13.655927994598194,13.127620071675562,0.0024925366354295875,0.0003165867193895763,10.477625092421857,3.581144612643319,0.0460847024343132,0.0017023729810666,0.0033122417511351337,0.0010015521113323066,7.9,189.5,117.13622403193064,96.28,96.13129240918953,0.129309619,,0.134305795,,-0.074083636,,-0.076946028,,0.015229212,0.015355438436319,0.006696519,0.0067246520889326,0.006955255
C030,R5,0.00153,14.22,14.653617557776458,14.058118448894096,0.002554804138334532,0.0003165749020695939,8.544470239310227,3.528119407785401,0.0579641291643502,0.0014138372858464,0.0033567892468069904,0.0010015270388123903,9.88,237.0,126.20637591614924,95.7,95.93616315879392,0.126477372,,0.132160263,,-0.050090048,,-0.052340698,,0.014069435,0.0130685145587899,0.006173394,0.0061865715157922,0.006450778
C030,R6,0.00139,16.25,16.392046449289445,15.601408281702602,0.0027509595056045555,0.00031657180791535097,7.5577656579060335,3.503597244875705,0.0769561851829926,0.0010634251084454,0.004144320548888997,0.0010015373273657162,13.88,333.0,143.76290571454365,95.14,95.17669639338342,0.11615651,,0.122090088,,-0.093144371,,-0.097902429,,0.009478201,0.0119663380706323,0.005307062,0.0055358502625512,0.00557816
C030,R7,0.00079,17.2,17.510503078245414,16.534322878673375,0.0028123189169022567,0.000316624008242991,7.766200289173327,3.500828489015249,0.0277113138826733,0.0008926497405414,0.003815807600001081,0.0010015942377813827,16.85,404.5,157.4361185823293,94.8,94.4251733076429,0.109740889,,0.115760431,,-0.087999769,,-0.092826761,,0.007554404,0.0118286895684582,0.005019709,0.0052193735574345,0.005295052
C030,R8,0.00081,18.23,18.51639468123633,17.337702651880132,0.0027085264490089855,0.0003167365919254455,8.086508411881528,3.4992076696981558,0.0271251480795768,0.0007608349344463,0.0038377278166668582,0.001001817546204833,19.85,476.5,171.91104596778123,93.27,93.6343329808657,0.103540499,,0.111011578,,-0.063491815,,-0.068073137,,0.008230928,0.0117958536600378,0.004776623,0.0049752181469179,0.005121286
C030,R9,0.00081,19.7,19.693946893756237,18.261061686261804,,,9.102265746654515,3.5017815793436062,0.0215739794698132,0.0006254407952797,,,23.85,572.5,193.07833730211632,92.84,92.72423544541644,,,,,,,,,0.011160148,0.0134009948574082,0.004425409,0.004727123959404,0.004766705
C030,SS,0.02481,4.86,4.86,4.614886564782898,0.004764207480185689,0.0003195099960456198,44.04618892064371,10.02,0.5848505865630174,0.0268462706895561,0.005159066682438039,0.00101007268281818,0.0,0.0,44.04618892064371,95.03,94.95651367866044,0.681502934,,0.717145043,,-0.512959198,,-0.539786591,,0.22562127,0.1588355321126814,0.051155222,0.0535230251201781,0.053830603
C034,C0.1,0.098,5.4,5.4,4.968,,,,,,0.098,,,0.0,0.0,,92.0,92.0,2.186263971,2.186263971,2.376373881,2.376373881,-2.640415424,-2.640415424,-2.870016765,-2.870016765,0.516168346,0.516168346,0.180782026,0.196502202,0.196502202
C035,C0.1,0.098,5.5,5.5,5.203,,,,,,0.098,,,0.0,0.0,,94.6,94.6,2.188079718,2.188079718,2.312980674,2.312980674,-2.411781158,-2.411781158,-2.549451542,-2.549451542,0.546513834,0.546513834,0.179304222,0.189539347,0.189539347
C036,C0.1,0.097,5.5,5.5,5.2855,,,,,,0.097,,,0.0,0.0,,96.1,96.1,2.159905514,2.159905514,2.247560368,2.247560368,-2.434676102,-2.434676102,-2.533481896,-2.533481896,0.565431311,0.565431311,0.176874372,0.184052416,0.184052416
