Fit,Cultivation,Time h,Time d,Growth Rate model 1/h,Growth Rate Pirt 1/h,Cs g/L,Biomass viable model g/L,Biomass model g/L,Cp mg/L,qS model g/gh,qP model mg/gh,Death rate (10^-3 h^-1),Viability model %,Sample Point
Dynamic,C024,669.0,27.875,0.0005091967481581196,0.000509217054562448,3.500367162750749,18.132288461492895,19.73232250532029,20.627522579836445,0.0047658824532170185,0.03578700025688273,0.4942640326827142,91.89130400946979,R10
Gompertz,C030,0.0,0.0,0.026833782540946708,0.026647966275979595,10.02,4.618,4.86,42.0,0.053486940132881695,0.353886224712716,0.14632131647185342,95.02057613168724,SS
Gompertz,C030,22.0,0.9166666666666666,0.012434120727152161,0.012364125934879337,7.416469171188401,6.873557055643726,7.134160100892917,40.85053733249075,0.026598038753268535,0.08754300254692723,0.1453561741573981,96.34710965882903,R1
Gompertz,C030,44.5,1.8541666666666667,0.007218355640175368,0.007194157614884071,5.825355183233273,8.475918094413485,8.761769514823106,30.734238404702563,0.01694219279825175,0.03770819904747787,0.14536634017289457,96.7375149514488,R2
Gompertz,C030,141.0,5.875,0.0022080805638167275,0.0022070756208794956,3.7499422948580676,12.057430811573383,12.490996976802172,9.444919420829985,0.007666616983295779,0.01320277653334062,0.14537560036030198,96.52897069758328,R3
Gompertz,C030,189.5,7.895833333333333,0.0016959395225397233,0.0016953459758604975,3.581509914989885,13.144955893572947,13.667482261867297,7.23652538578527,0.0067164685457006545,0.01167969992044673,0.14536968530621944,96.17686448547867,R4
Gompertz,C030,237.0,9.875,0.0014133143617823783,0.0014110763161231034,3.5271044142495214,14.049250087897448,14.665723098909867,6.510013893991596,0.006188695769910418,0.010859084612475934,0.14535471678987308,95.79650449654103,R5
Gompertz,C030,333.0,13.875,0.0010650616130685828,0.0010627828196027285,3.5031238910139573,15.581492000380518,16.405081909649173,6.268402866953712,0.005542177315233325,0.00992701123432698,0.1453491777958319,94.97966597299198,R6
Gompertz,C030,404.5,16.854166666666668,0.0008905888617198886,0.0008891145610557668,3.5007050525012593,16.532148888971623,17.52273458542933,6.325968050326579,0.005219875853595996,0.009504623791822297,0.1453519749064437,94.34685441574052,R7
Gompertz,C030,476.5,19.854166666666668,0.0007564861059996241,0.0007550829818852712,3.500067422796427,17.35622724570185,18.52424448890861,6.408207723740507,0.004971129115985684,0.009175697096090348,0.14535065937491187,93.69465651402888,R8
Gompertz,C030,572.5,23.854166666666668,0.0006209906070441368,0.0006196632328792223,3.499929166402976,18.279687989053542,19.69654280607337,6.517243143526026,0.004719809140213033,0.008845215451812069,0.14534900086502447,92.80658118041434,R9
Gompertz,C030,669.0,27.875,0.0005192287930952013,0.0005182412269189168,3.500123649635842,19.039848828016183,20.718609829379304,6.625486402313399,0.004531623829059908,0.008621845459236471,0.1453500775496604,91.89732798103755,R10
Dynamic,C030,0.0,0.0,0.026726080827722223,0.026846424894871063,10.02,4.614894495030088,4.86,44.04146555220902,0.05352293314606693,0.15885416714059172,1.1695203221727215,94.95667685247093,SS
Dynamic,C030,22.0,0.9166666666666666,0.012545326205642483,0.012546133450411215,7.416470213111346,6.789542880993804,7.124820247188685,36.86171776164893,0.02692716812128919,0.08958417385843816,0.44391327547825077,95.29423403590883,R1
Dynamic,C030,44.5,1.8541666666666667,0.007301710909126751,0.00729801224480949,5.8218525724836265,8.36321061248864,8.750194288499145,30.655597694847472,0.01716019151082544,0.06020988884795895,0.20543036783922025,95.57742761758857,R2
Dynamic,C030,141.0,5.875,0.0022263156123980246,0.002224447563911851,3.7483069281599537,12.00006146558327,12.478962515521825,14.251644872145507,0.0076999097654114786,0.02075180712541591,0.07115413180904823,96.16233281137852,R3
Dynamic,C030,189.5,7.895833333333333,0.0017058783931420856,0.0017024695498701183,3.5811446689634074,13.12808009671552,13.656323023368333,10.469136510711996,0.006724416554111269,0.015351646168431096,0.09207123941248724,96.13188025979689,R4
Dynamic,C030,237.0,9.875,0.0014123637102678957,0.001413930434432773,3.5281194087711896,14.058621311231445,14.654109005353176,8.543661535337531,0.006186350230259158,0.013077257352390625,0.11585789827256852,95.93637734027911,R5
Dynamic,C030,333.0,13.875,0.001064486941883996,0.0010635291774926366,3.5035972844821135,15.601946869848671,16.39273788195831,7.566164823069514,0.005535659224405937,0.01198118567026594,0.15392459281645984,95.17596744482826,R6
Dynamic,C030,404.5,16.854166666666668,0.0008909834257126175,0.0008927673385293049,3.500828440473301,16.534892655344773,17.511360620207544,7.773287116655497,0.005219193630418328,0.01183504620712531,0.166352621017227,94.42380300399982,R7
Dynamic,C030,476.5,19.854166666666668,0.0007629766882125443,0.000760958749361466,3.4992076998434256,17.338354695200028,18.517436703907197,8.087274941101885,0.004975031086801581,0.011790854928256005,0.16280709798048432,93.63258518141238,R8
Dynamic,C030,572.5,23.854166666666668,0.0006236656237186178,0.0006255381157184326,3.5017815864958197,18.261962098221385,19.695235603877713,9.098444680198089,0.004726890896679676,0.013397860419214263,0.12940694603582598,92.72273998400844,R9
Dynamic,C030,669.0,27.875,0.0005053848945023739,0.0005054425674908414,3.5003046627856578,19.102140037672687,20.712217754144472,13.281604512074425,0.004517080004112216,0.021064117346748207,0.061183095461957375,92.22643496904327,R10
