,Consensus,Consensus,Consensus,Consensus,Consensus,Consensus,Consensus,Consensus,Consensus,Consensus,Consensus,Consensus,ScaledConsensus,ScaledConsensus,ScaledConsensus,ScaledConsensus,ScaledConsensus,ScaledConsensus,ScaledConsensus,ScaledConsensus,ScaledConsensus,ScaledConsensus,ScaledConsensus,ScaledConsensus,Derived,Derived,Derived,Derived,Derived,Derived,Derived,Derived,Derived,Derived,Derived,Derived,Interpolated,Interpolated,Interpolated,Interpolated,Interpolated,Interpolated,Interpolated,Interpolated,Interpolated,Interpolated,Interpolated,Interpolated,Fitted,Fitted,Fitted,Fitted,Fitted,Fitted,Fitted,Fitted,Fitted,Fitted,Fitted,Fitted
NTP7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NTP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPHK21c,-8.207599795880963e-07,-2.2505704256795298e-07,-1.0533286057032543e-07,-6.01030582415738e-08,-1.7916055336758936e-08,-1.3296432830943302e-08,-1.0725179922534601e-08,-7.60794269176517e-09,-6.121091579111895e-09,-5.049882674669561e-09,-4.173079611182834e-09,-3.890752079879451e-09,-9.04769936629843e-07,-2.3306245417691808e-07,-1.1032905810434266e-07,-6.466389285347745e-08,-1.945682567852931e-08,-1.4645420676417598e-08,-1.196742283230006e-08,-8.720757299562525e-09,-7.1722093416022765e-09,-6.056527734641486e-09,-5.1433255458979846e-09,-4.849276749948634e-09,-5.71221138000721e-07,-1.359852056544319e-07,0.0,0.0,0.0,0.0,0.0,-1.0256514930130877e-07,-1.0909072273644272e-07,-1.1586724685894155e-07,0.0,0.0,0.0,0.0,0.0,-6.746870199337698e-08,-2.8901994305169743e-08,-2.2253409433300715e-08,-1.857608972743333e-08,-4.638668728964007e-09,-5.384048181827165e-09,-5.900502779728977e-09,-6.481727148094238e-09,-7.513837813378928e-09,-2.8787989206077746e-07,-6.971219600730874e-08,0.0,0.0,-2.9535507117383062e-08,-2.4153578144265428e-08,-2.1369057124569935e-08,-1.81206592361811e-08,-1.6538120716333306e-08,-1.538868126133949e-08,-1.4691100971787268e-08,-1.5353547906955682e-08
POLYPPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NDP11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHEPYRAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NDP10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAGL_PP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CERASE116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.239446667760981e-07,-2.1254778101782822e-07,-1.018519847724561e-07,-9.545673820673141e-08,-9.588956956576572e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.069054511060006e-07,-3.614675826918416e-08,-4.292923560017093e-09,-2.9997041368295178e-09,-2.269083906039559e-09,0.0,0.0,0.0,0.0,0.0,-2.8286516748205803e-07,-6.611955189633576e-08,-5.7173864372180615e-08,-3.240429397622768e-08,-3.5722423574075045e-09,-2.71563097856165e-09,-2.2800933561724023e-09,-1.798354455298287e-09,-1.5818750420086594e-09,-1.4308745846226205e-09,-1.3274190917171664e-09,-1.3572941933060525e-09
CERASE118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.248622960355779e-07,-1.3050380237418674e-07,0.0,0.0,0.0,-1.8347653535593879e-07,-5.024540836965256e-08,-3.6009136296561394e-08,-2.800067052662423e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.42089720429255e-08,-3.4351414862281467e-08,-2.9318372578429768e-08,-2.3677752706169815e-08,-2.1089324918693806e-08,-1.9263895668312075e-08,-1.8052559012758147e-08,-1.86039374550576e-08
