Name,ChEBI,Family,Macrocomponent,Alternative Name,Model ID,Formula,ChEBI Name,Average Formula,Average Mass
Cerebroside B,172811,Glucosylceramide,,,glccer162m_c,C41H77NO9,Cerebroside B,C41H77NO9,727.9879999999999
Cerebroside D,189692,Glucosylceramide,,,glccer182m_c,C43H81NO9,cerebroside D,C43H81NO9,756.0379999999999
Ins-1-P-Cer(d18:0/18:0)(1-),72548,IPC,,,ipc118_SC_c,C42H83NO11P,Ins-1-P-Cer(d18:0/18:0)(1-),C42H83NO11P,809.013
Ins-1-P-Cer(d18:0/2-OH-24:0)(1-),65095,IPC,,,ipc224_SC_c,C48H95NO12P,Ins-1-P-Cer(d18:0/2-OH-24:0)(1-),C48H95NO12P,909.1619999999999
Ins-1-P-Cer(t18:0/2-OH-24:0)(1-),65162,IPC,,,ipc324_SC_c,C48H95NO13P,Ins-1-P-Cer(t18:0/2-OH-24:0)(1-),C48H95NO13P,925.161
"Ins-1-P-Cer(t18:0/2,3-OH-24:0)(1-)",65166,IPC,,,ipc424_SC_c,C48H95NO14P,"Ins-1-P-Cer(t18:0/2,3-OH-24:0)(1-)",C48H95NO14P,941.16
Ins-1-P-Cer(d18:0/2-OH-26:0)(1-),65094,IPC,,,ipc226_SC_c,C50H99NO12P,Ins-1-P-Cer(d18:0/2-OH-26:0)(1-),C50H99NO12P,937.2119999999999
Ins-1-P-Cer(t18:0/2-OH-26:0)(1-),65164,IPC,,,ipc326_SC_c,C50H99NO13P,Ins-1-P-Cer(t18:0/2-OH-26:0)(1-),C50H99NO13P,953.2109999999999
"Ins-1-P-Cer(t18:0/2,3-OH-26:0)(1-)",65168,IPC,,,ipc426_SC_c,C50H99NO14P,"Ins-1-P-Cer(t18:0/2,3-OH-26:0)(1-)",C50H99NO14P,969.2099999999999
Man-beta1-6-Ins-1-P-Cer(t18:0/2-OH-24:0)(1-),65163,MIPC,,,mipc324_SC_c,C54H105NO18P,Man-beta1-6-Ins-1-P-Cer(t18:0/2-OH-24:0)(1-),C54H105NO18P,1087.292
"Man-beta1-6-Ins-1-P-Cer(t18:0/2,3-OH-24:0)(1-)",65167,MIPC,,,mipc424_SC_c,C54H105NO19P,"Man-beta1-6-Ins-1-P-Cer(t18:0/2,3-OH-24:0)(1-)",C54H105NO19P,1103.291
Man-1-6-Ins-1-P-Cer(t18:0/2-OH-26:0)(1-),65165,MIPC,,,mipc326_SC_c,C56H109NO18P,Man-1-6-Ins-1-P-Cer(t18:0/2-OH-26:0)(1-),C56H109NO18P,1115.3419999999999
"Man-1-6-Ins-1-P-Cer(t18:0/2,3-OH-26:0)(1-)",65169,MIPC,,,mipc426_SC_c,C56H109NO19P,"Man-1-6-Ins-1-P-Cer(t18:0/2,3-OH-26:0)(1-)",C56H109NO19P,1131.341
Ins-1-P-6-Man-beta1-6-Ins-1-P-Cer(t18:0/2-OH-24:0)(2-),65203,M(IP)2C,,,mip2c324_SC_c,C60H115NO26P2,Ins-1-P-6-Man-beta1-6-Ins-1-P-Cer(t18:0/2-OH-24:0)(2-),C60H115NO26P2,1328.394
"Ins-1-P-6-Man-beta1-6-Ins-1-P-Cer(t18:0/2,3-OH-24:0)(2-)",65204,M(IP)2C,,,mip2c424_SC_c,C60H115NO27P2,"Ins-1-P-6-Man-beta1-6-Ins-1-P-Cer(t18:0/2,3-OH-24:0)(2-)",C60H115NO27P2,1344.393
Ins-1-P-6-Man-beta1-3-Ins-1-P-Cer(t18:0/2-OH-26:0)(2-),65206,M(IP)2C,,,mip2c326_SC_c,C62H119NO26P2,Ins-1-P-6-Man-beta1-3-Ins-1-P-Cer(t18:0/2-OH-26:0)(2-),C62H119NO26P2,1356.444
tetradecanoate,30807,Fatty Acids,,Tetradecanoate,ttdca_c,C14H27O2,tetradecanoate,C14H27O2,227.34099999999998
hexadecanoate,7896,Fatty Acids,,Hexadecanoate,hdca_c,C16H31O2,hexadecanoate,C16H31O2,255.39099999999996
hexadecenoate,78095,Fatty Acids,,Hexadecenoate,hdcea_c,C16H29O2,hexadecenoate,C16H29O2,253.37699999999998
octadecanoate,25629,Fatty Acids,,Octadecanoate,ocdca_c,C18H35O2,octadecanoate,C18H35O2,283.441
octadecenoate,78049,Fatty Acids,,Octadecenoate,ocdcea_c,C18H33O2,octadecenoate,C18H33O2,281.42699999999996
octadecadienoate,25626,Fatty Acids,,Octadecadienoate,ocdcya_c,C18H31O2,octadecadienoate,C18H31O2,279.41299999999995
octadecatrienoate,36434,Fatty Acids,,Octadecatrienoate,lnlnca_c,C18H29O2,octadecatrienoate,C18H29O2,277.399
cerotate,31013,Fatty Acids,,hexacosanoate,hexc_c,C26H51O2,cerotate,C26H51O2,395.64099999999996
NADH,16908,Cofactors,,,nadh_c,C21H29N7O14P2,NADH,C21H29N7O14P2,665.4169999999999
NAD(+),15846,Cofactors,,,nad_c,C21H28N7O14P2,NAD(+),C21H28N7O14P2,664.41
NADP(+),18009,Cofactors,,,nadp_c,C21H29N7O17P3,NADP(+),C21H29N7O17P3,744.3879999999999
NADPH,16474,Cofactors,,,nadph_c,C21H30N7O17P3,NADPH,C21H30N7O17P3,745.395
coenzyme A,15346,Cofactors,,,coa_c,C21H36N7O16P3S,coenzyme A,C21H36N7O16P3S,767.5029999999999
oxolane,26911,Cofactors,,THF,thf_c,C4H8O,oxolane,C4H8O,72.09899999999999
TDP,61377,Cofactors,,,dtdp_c,C10H16N2O12P2,TDP,C10H16N2O12P2,418.17199999999997
FAD,16238,Cofactors,,,fad_c,C27H33N9O15P2,FAD,C27H33N9O15P2,785.524
ATP,15422,Cofactors,,,atp_c,C10H12N5O13P3,ATP,C10H12N5O13P3,503.13800000000003
phosphate(3-),18367,Cofactors,,Pi,pi_c,O4P,phosphate(3-),O4P,94.97
water,15377,Cofactors,,H2O,h2o_c,H2O,water,H2O,18.013
hydron,15378,Cofactors,,H,h_c,H,hydron,H,1.007
ADP,16761,Cofactors,,ADP,adp_c,C10H15N5O10P2,ADP,C10H15N5O10P2,427.188
Average Fatty Acid (R),,Fatty Acids,Lipid,,,,,C16.7H31.3,232.10279999999997
DNA,,DNA,DNA,,DNA_c,,,C9.79H12.29N3.71O6P,308.89768999999995
RNA,,RNA,RNA,,RNA_c,,,C9.51H11.76N3.77O6.96P,321.20036
Ceramide,,Sphingolipids,Lipids,,ceravg_c,,,C39.17H78.22NO4.09,628.6813199999999
Glucosylceramide,,Sphingolipids,Lipids,,GlcCer_c,,,C42.43H80.01NO9,748.1947999999999
IPC,,Sphingolipids,Lipids,,IPCavg_c,,,C48.24H95.48NO12.84P,925.96716
M(IP)2C,,Sphingolipids,Lipids,,mip2cavg_c,,,C60.8H116.6NO26.01P2,1339.77399
MIPC,,Sphingolipids,Lipids,,mipcavg_c,,,C54.77H106.54NO18.06P,1099.05119
