Name,ChEBI,Family,Macrocomponent,Alternative Name,Model ID,Formula,ChEBI Name
Cerebroside B,172811,Glucosylceramide,,,glccer162m_c,C41H77NO9,Cerebroside B
Cerebroside D,189692,Glucosylceramide,,,glccer182m_c,C43H81NO9,cerebroside D
Ins-1-P-Cer(d18:0/18:0)(1-),72548,IPC,,,ipc118_SC_c,C42H83NO11P,Ins-1-P-Cer(d18:0/18:0)(1-)
Ins-1-P-Cer(d18:0/2-OH-24:0)(1-),65095,IPC,,,ipc224_SC_c,C48H95NO12P,Ins-1-P-Cer(d18:0/2-OH-24:0)(1-)
Ins-1-P-Cer(t18:0/2-OH-24:0)(1-),65162,IPC,,,ipc324_SC_c,C48H95NO13P,Ins-1-P-Cer(t18:0/2-OH-24:0)(1-)
"Ins-1-P-Cer(t18:0/2,3-OH-24:0)(1-)",65166,IPC,,,ipc424_SC_c,C48H95NO14P,"Ins-1-P-Cer(t18:0/2,3-OH-24:0)(1-)"
Ins-1-P-Cer(d18:0/2-OH-26:0)(1-),65094,IPC,,,ipc226_SC_c,C50H99NO12P,Ins-1-P-Cer(d18:0/2-OH-26:0)(1-)
Ins-1-P-Cer(t18:0/2-OH-26:0)(1-),65164,IPC,,,ipc326_SC_c,C50H99NO13P,Ins-1-P-Cer(t18:0/2-OH-26:0)(1-)
"Ins-1-P-Cer(t18:0/2,3-OH-26:0)(1-)",65168,IPC,,,ipc426_SC_c,C50H99NO14P,"Ins-1-P-Cer(t18:0/2,3-OH-26:0)(1-)"
Man-beta1-6-Ins-1-P-Cer(t18:0/2-OH-24:0)(1-),65163,MIPC,,,mipc324_SC_c,C54H105NO18P,Man-beta1-6-Ins-1-P-Cer(t18:0/2-OH-24:0)(1-)
"Man-beta1-6-Ins-1-P-Cer(t18:0/2,3-OH-24:0)(1-)",65167,MIPC,,,mipc424_SC_c,C54H105NO19P,"Man-beta1-6-Ins-1-P-Cer(t18:0/2,3-OH-24:0)(1-)"
Man-1-6-Ins-1-P-Cer(t18:0/2-OH-26:0)(1-),65165,MIPC,,,mipc326_SC_c,C56H109NO18P,Man-1-6-Ins-1-P-Cer(t18:0/2-OH-26:0)(1-)
"Man-1-6-Ins-1-P-Cer(t18:0/2,3-OH-26:0)(1-)",65169,MIPC,,,mipc426_SC_c,C56H109NO19P,"Man-1-6-Ins-1-P-Cer(t18:0/2,3-OH-26:0)(1-)"
Ins-1-P-6-Man-beta1-6-Ins-1-P-Cer(t18:0/2-OH-24:0)(2-),65203,M(IP)2C,,,mip2c324_SC_c,C60H115NO26P2,Ins-1-P-6-Man-beta1-6-Ins-1-P-Cer(t18:0/2-OH-24:0)(2-)
"Ins-1-P-6-Man-beta1-6-Ins-1-P-Cer(t18:0/2,3-OH-24:0)(2-)",65204,M(IP)2C,,,mip2c424_SC_c,C60H115NO27P2,"Ins-1-P-6-Man-beta1-6-Ins-1-P-Cer(t18:0/2,3-OH-24:0)(2-)"
