Fit,Type,Cultivation,Time h,Time d,Growth Rate model 1/h,Growth Rate Pirt 1/h,Cs g/L,Biomass viable model g/L,Biomass model g/L,Cp mg/L,qS model g/gh,qP model mg/gh,Death rate (10^-3 h^-1),Viability model %,Sample Point
Gompertz,LC,C026,44.5,1.8541666666666667,0.006146351526806573,0.006125480514739118,5.917414525804353,7.640207485408999,8.020155294664308,31.322670536481432,0.01872481290347309,0.03337044712226235,0.7018226079434488,95.26258787647063,R2
Gompertz,LC,C026,141.0,5.875,0.001307401396384316,0.0013136947348220936,3.7822876032207495,9.354004955396631,10.327615540739982,7.290705531426541,0.009775694028349836,0.009982126189733834,0.7020314610144308,90.57274564973213,R3
Gompertz,LC,C026,189.5,7.895833333333333,0.0009556643173357002,0.0009570029614357693,3.5959580266254014,9.539339264084798,10.834912078382613,4.766436595021266,0.009113537094106079,0.008997608776529102,0.701842111861111,88.04260888389958,R4
Gompertz,LC,C026,237.0,9.875,0.0008303067449022711,0.0008295995200363445,3.5332890316800873,9.622832274952048,11.23792167256636,3.87771252695745,0.008877013809088122,0.008637698223278013,0.701765269963084,85.62821983750773,R5
Gompertz,LC,C026,333.0,13.875,0.0007549079761480369,0.0007529678375034251,3.504001232181814,9.69850433513811,11.964779412321468,3.4388623302694596,0.008734743019324701,0.00841829589170269,0.7017186414346128,81.05878095128506,R6
Gompertz,LC,C026,404.5,16.854166666666668,0.0007361896959388615,0.0007345767257599771,3.500894555512798,9.727911611475784,12.481591678505856,3.3863347952821403,0.008700617186129684,0.008376750608825485,0.7017280916505566,77.93806961517501,R7
Gompertz,LC,C026,476.5,19.854166666666668,0.0007251189050960413,0.0007239968953907394,3.5001986411484647,9.74796181958955,12.9936798033598,3.372021949694286,0.008680995253393785,0.008358691155747663,0.7017440444431606,75.02079447170156,R8
Gompertz,LC,C026,572.5,23.854166666666668,0.0007165674893868001,0.0007151413733041999,3.4999628896735535,9.765806220941357,13.668851238586527,3.3654124507157013,0.008664549425080414,0.008330242732724162,0.7017333135115986,71.44569832886134,R9
Gompertz,LC,C026,669.0,27.875,0.0007113313131543918,0.0007098768940663827,3.500050092663981,9.77707620972085,14.341846435983204,3.3644135594047726,0.00865477747248847,0.008316286300212736,0.7017316743942511,68.17166989872726,R10
Gompertz,LC,C029,0.0,0.0,0.02454992610939,0.024342167385808775,10.02071,4.704361999999863,4.939999999999856,45.61,0.05224807179040429,0.38925564574632704,0.6007632019412641,95.23,SS
Gompertz,LC,C029,22.0,0.9166666666666666,0.011212472724989214,0.011125526957516601,7.455636337900261,6.6940304928351795,7.005557419789915,46.225949947758664,0.027319298094269022,0.1130658367072324,0.5972090723720275,95.55314576289521,R1
Gompertz,LC,C029,44.5,1.8541666666666667,0.006213788257414292,0.006182770148730223,5.872361264034371,7.973099838318456,8.383820888280251,35.975579853010224,0.018065836268293015,0.05203887459692542,0.5972581079945617,95.10102785549793,R2
Gompertz,LC,C029,141.0,5.875,0.0014571006513517757,0.001452433432814946,3.765813696881921,9.982766336112118,10.926555609883259,11.745879260887293,0.009252954611386168,0.019762575156216995,0.5971968868255338,91.3624264821618,R3
Gompertz,LC,C029,189.5,7.895833333333333,0.0010705164552647134,0.001073267204636226,3.5885920811817256,10.297413289171292,11.535322117399595,8.94903519728982,0.008548077633927209,0.01810774210748946,0.5973577337121311,89.26853697166314,R4
Gompertz,LC,C029,237.0,9.875,0.000917491083314631,0.0009151657303869539,3.5301073813034174,10.490326145323374,12.023243083927207,7.939335387635711,0.008254132431613638,0.017398443190759838,0.5972036830230146,87.25038720498755,R5
Gompertz,LC,C029,333.0,13.875,0.0007826625713212877,0.0007804835114479604,3.5036806885634846,10.737447448700047,12.879479433540926,7.435141909000202,0.008003795340429592,0.016834768240874192,0.5971940798288607,83.36864470420623,R6
Gompertz,LC,C029,404.5,16.854166666666668,0.0007303463940182255,0.0007285554853361878,3.5007590946955536,10.85942729446246,13.462674725839701,7.372097394480275,0.007907292619047906,0.016627884812148594,0.5972001307830758,80.66322269243662,R7
Gompertz,LC,C029,476.5,19.854166666666668,0.0006951309964305198,0.0006926486971645417,3.500049892772451,10.94967400499653,14.021879102476658,7.354948671127559,0.007840532378708378,0.01646577621673244,0.5971768191890012,78.08991879742074,R8
Gompertz,LC,C029,572.5,23.854166666666668,0.0006626461094213364,0.0006602238911716872,3.500041193646993,11.034453227724226,14.736989120401683,7.351685335897203,0.007780273152051686,0.01633588283030382,0.5971740674474517,74.8758999383957,R9
Gompertz,LC,C029,669.0,27.875,0.0006407621899655141,0.0006386986319384789,3.500095331096344,11.0916459102022,15.4318370528009,7.350088564434596,0.007740274870416508,0.0162526383385989,0.5971834347982368,71.87508442612184,R10
