Thinning Factor,Biomass Composition,Rxn,Geweke Fails,Rhat,ESS-Bulk,ESS-Tail,Rhat Fails,ESS-Bulk Fails
10,ScaledConsensus,MDHm,4,1.02121759034588,283.5875424192954,358.209129004525,True,True
10,ScaledConsensus,ATPS3m,4,1.0153240678177635,272.784372242517,265.16590028720736,True,True
10,ScaledConsensus,G6PDH2,4,1.0107685039208516,249.73573263580386,373.68780794023303,True,True
10,ScaledConsensus,NADH2_u6mh,4,1.0228801247674197,272.10659702539397,320.9104880135703,True,True
10,ScaledConsensus,AKGMALtm,4,1.0203634530052492,278.67033239027114,335.0626974544343,True,True
10,ScaledConsensus,CYOR_u6m,4,1.0068423362211805,301.943059931631,318.26496608650814,False,True
10,Derived,CYOOm,4,1.0104826184275348,334.5155081205042,319.8936538393901,True,True
10,Derived,CSm,4,1.0188362806313422,318.0290649365498,440.08811191903726,True,True
10,Derived,PYK,4,1.0278548876466356,323.97917112999846,334.7459829859106,True,True
10,Derived,PGI,4,1.0137719061836077,282.7919189733446,270.1368593492627,True,True
10,Derived,NADH2_u6cm,4,1.0093588181220858,225.998091443569,318.77487353415205,False,True
10,Derived,MDHm,4,1.0111125289445337,249.77689733070207,350.09108590196666,True,True
10,Derived,ATPS3m,4,1.00995313039169,216.49840001430707,279.03706839749975,False,True
10,Derived,G6PDH2,4,1.0203752210898593,301.16156353437174,270.1368593492627,True,True
10,Derived,NADH2_u6mh,4,1.0094365967264696,222.48855452916996,310.67450815824515,False,True
10,Derived,AKGMALtm,4,1.0121822270000527,248.76467768452815,322.11629476371434,True,True
10,Derived,CYOR_u6m,4,1.0104828795912022,334.5336282459102,319.8936538393901,True,True
10,Interpolated,CYOOm,4,1.0454942456670724,176.71663944346298,148.62940760012714,True,True
10,Interpolated,CSm,4,1.040455584141449,176.1956809534234,252.33336017878108,True,True
10,Interpolated,PYK,4,1.0346159526350693,175.2961955554478,246.92048343378445,True,True
10,Interpolated,PGI,4,1.0302931833550297,168.24634149480622,138.6129606898052,True,True
10,Interpolated,NADH2_u6cm,4,1.1147710125163308,212.62371157638898,319.0180044672075,True,True
10,Interpolated,MDHm,4,1.0987484451992136,229.56822500057663,309.04835931150797,True,True
10,Interpolated,ATPS3m,4,1.057088880172517,222.30422312157447,296.56246215260074,True,True
10,Interpolated,G6PDH2,4,1.0265789885008116,171.2457664361966,138.61296068980516,True,True
10,Interpolated,NADH2_u6mh,4,1.0838551476303964,221.71848758122576,298.41436916664026,True,True
10,Interpolated,AKGMALtm,4,1.0678427637999581,259.1082796145165,314.92688119508375,True,True
10,Interpolated,CYOR_u6m,4,1.0454942803359584,176.71534068742784,148.62940760012714,True,True
